"Hour_Format_HHMMSS","Hour","Minute","Second","Hour_id"
"16:00:32",16,0,32,"160032"
"16:00:33",16,0,33,"160033"
"16:00:34",16,0,34,"160034"
"16:00:35",16,0,35,"160035"
"16:00:36",16,0,36,"160036"
"16:00:37",16,0,37,"160037"
"16:00:38",16,0,38,"160038"
"16:00:39",16,0,39,"160039"
"16:00:40",16,0,40,"160040"
"16:00:41",16,0,41,"160041"
"16:00:42",16,0,42,"160042"
"16:00:43",16,0,43,"160043"
"16:00:44",16,0,44,"160044"
"16:00:45",16,0,45,"160045"
"16:00:46",16,0,46,"160046"
"16:00:47",16,0,47,"160047"
"16:00:48",16,0,48,"160048"
"16:00:49",16,0,49,"160049"
"16:00:50",16,0,50,"160050"
"16:00:51",16,0,51,"160051"
"16:00:52",16,0,52,"160052"
"16:00:53",16,0,53,"160053"
"16:00:54",16,0,54,"160054"
"16:00:55",16,0,55,"160055"
"16:00:56",16,0,56,"160056"
"16:00:57",16,0,57,"160057"
"16:00:58",16,0,58,"160058"
"16:00:59",16,0,59,"160059"
"16:01",16,1,0,"160100"
"16:01:01",16,1,1,"160101"
"16:01:02",16,1,2,"160102"
"16:01:03",16,1,3,"160103"
"16:01:04",16,1,4,"160104"
"16:01:05",16,1,5,"160105"
"16:01:06",16,1,6,"160106"
"16:01:07",16,1,7,"160107"
"16:01:08",16,1,8,"160108"
"16:01:09",16,1,9,"160109"
"16:01:10",16,1,10,"160110"
"16:01:11",16,1,11,"160111"
"16:01:12",16,1,12,"160112"
"16:01:13",16,1,13,"160113"
"16:01:14",16,1,14,"160114"
"16:01:15",16,1,15,"160115"
"16:01:16",16,1,16,"160116"
"16:01:17",16,1,17,"160117"
"16:01:18",16,1,18,"160118"
"16:01:19",16,1,19,"160119"
"16:01:20",16,1,20,"160120"
"16:01:21",16,1,21,"160121"
"16:01:22",16,1,22,"160122"
"16:01:23",16,1,23,"160123"
"16:01:24",16,1,24,"160124"
"16:01:25",16,1,25,"160125"
"16:01:26",16,1,26,"160126"
"16:01:27",16,1,27,"160127"
"16:01:28",16,1,28,"160128"
"16:01:29",16,1,29,"160129"
"16:01:30",16,1,30,"160130"
"16:01:31",16,1,31,"160131"
"16:01:32",16,1,32,"160132"
"16:01:33",16,1,33,"160133"
"16:01:34",16,1,34,"160134"
"16:01:35",16,1,35,"160135"
"16:01:36",16,1,36,"160136"
"16:01:37",16,1,37,"160137"
"16:01:38",16,1,38,"160138"
"16:01:39",16,1,39,"160139"
"16:01:40",16,1,40,"160140"
"16:01:41",16,1,41,"160141"
"16:01:42",16,1,42,"160142"
"16:01:43",16,1,43,"160143"
"16:01:44",16,1,44,"160144"
"16:01:45",16,1,45,"160145"
"16:01:46",16,1,46,"160146"
"16:01:47",16,1,47,"160147"
"16:01:48",16,1,48,"160148"
"16:01:49",16,1,49,"160149"
"16:01:50",16,1,50,"160150"
