"Amount_Hours","Amount_Dollars","Payment_Date","Departament_id","Worked_Hours_Type_id"
0.1,2.45,"20150912",9,1
33,977.6300000000001,"20140913",9,1
11.7,335.8,"20180922",9,1
18.6,576.65,"20170923",9,1
19.6,650.83,"20160924",9,1
3,82.22999999999999,"20150926",9,1
50.1,1470.4,"20140927",9,1
0.5,12.62,"20180908",9,1
5.8,103.9,"20180908",9,2
25.1,772.64,"20170909",9,1
8.5,165.15,"20170909",9,2
7.8,293.68,"20150117",10,1
0.05,0.99,"20131123",10,2
1.8,53.41,"20140301",10,1
1.25,32.12,"20140510",10,1
1.7,66.53,"20190518",10,1
7.5,282.38,"20170520",10,1
2.3,90.11,"20190727",10,1
0.4,17.91,"20160910",10,1
1,38.4,"20150912",10,1
2.3,61.48,"20140913",10,1
0.2,9.24,"20140927",10,1
436.2,14341.39,"20190112",11,1
186.17,4021.55,"20190112",11,2
530.93,17667.5,"20180113",11,1
81.01,1771.46,"20180113",11,2
386.35,12748.45,"20170114",11,1
144.15,3119.29,"20170114",11,2
279.15,9630.08,"20160116",11,1
55.4,1152.77,"20160116",11,2
314.9,9784.59,"20150117",11,1
74.5,1569.91,"20150117",11,2
554.95,17266.74,"20140118",11,1
72.4,1502.63,"20140118",11,2
426.75,13919.24,"20160102",11,1
44.65,928.94,"20160102",11,2
429.65,14146.47,"20190126",11,1
122.3,2638.78,"20190126",11,2
399.45,13527.66,"20180127",11,1
139.15,3041.6,"20180127",11,2
454.15,15094.77,"20170128",11,1
77.35,1668.99,"20170128",11,2
320.3,10300.79,"20150103",11,1
88.6,1839.68,"20150103",11,2
406.85,13974.63,"20160130",11,1
92.45,1908.4,"20160130",11,2
284.6,9226.58,"20150131",11,1
37.45,795.92,"20150131",11,2
365,11315.12,"20140104",11,1
174,3624.57,"20140104",11,2
324.3,10209.88,"20151010",11,1
140.8,2882.06,"20151010",11,2
331.31,10448.78,"20141011",11,1
88.99,1896.65,"20141011",11,2
416.45,12937.4,"20131012",11,1
140.8,2931.32,"20131012",11,2
443.03,14458.44,"20181020",11,1
224.01,4902.71,"20181020",11,2
495.75,16180.51,"20171021",11,1
153.4,3332.97,"20171021",11,2
466.9,15010.6,"20161022",11,1
201.95,4364.18,"20161022",11,2
422.75,12985.55,"20151024",11,1
96.2,2006.23,"20151024",11,2
295.55,9250.56,"20141025",11,1
77.33,1617.89,"20141025",11,2
401.9,12477.74,"20131026",11,1
73.1,1529,"20131026",11,2
482.35,15738.27,"20181006",11,1
191.87,4162.83,"20181006",11,2
429.5,13950.16,"20171007",11,1
124.79,2720.98,"20171007",11,2
520.05,16853.87,"20161008",11,1
221.55,4807.26,"20161008",11,2
